DateTime,Temp 1,Temp 2,Temp 3,Temp_ambient 1,Temp_ambient 2,Humetat 1,Humetat 2,lux,PH
12/4/2018 6:27:0,"12,94","25,12","26,44","12,8","24,2","54,9",27,0,"7,26"
12/4/2018 6:42:9,"12,75",25,"26,37","12,7","23,9",55,"27,1",0,"7,26"
12/4/2018 6:57:18,"12,5","24,87","26,37","12,3","23,6","55,9","27,4",0,"7,26"
12/4/2018 7:12:27,"12,19","24,81","26,37","12,1","23,8","56,1","27,3",0,"7,25"
12/4/2018 7:27:36,"11,88","24,69","26,31","11,3",24,"58,1","27,3",0,"7,25"
12/4/2018 7:42:44,"11,81","24,56","26,31","11,1","24,2","58,9",27,2,"7,25"
12/4/2018 7:57:53,"11,69","24,44","26,25","11,5","24,2","57,5","26,8",166,"7,25"
12/4/2018 8:13:2,"11,56","24,31","26,25","11,2",24,"58,7","26,8",1390,"7,25"
12/4/2018 8:28:11,"11,63","24,19","26,19","11,1",24,"59,9","26,9",3283,"7,26"
12/4/2018 8:43:20,"11,69","24,06","26,19","11,5","23,8",59,"26,8",4891,"7,26"
12/4/2018 8:58:29,"11,94",24,"26,12","11,6","23,8","59,4","27,1",6250,"7,26"
12/4/2018 9:13:38,"12,25","23,87","26,12","12,3","23,7","57,1","27,2",7134,"7,25"
12/4/2018 9:28:47,"12,63","23,75","26,12","12,8","23,4","55,4","27,3",10581,"7,26"
12/4/2018 9:43:56,"14,44","23,69","26,06","13,6","23,4","52,7","27,5",44179,"7,25"
12/4/2018 9:59:5,"17,19","23,56","26,06","15,4","23,5","48,1","27,8",54612,"7,25"
12/4/2018 10:14:14,"18,94","23,44",26,17,24,"43,7","28,3",54612,"7,25"
12/4/2018 10:29:23,"19,87","23,37","25,94","17,7","24,8","41,5","28,3",54612,"7,24"
12/4/2018 10:44:32,"20,31","23,25","25,94","19,2","25,7","38,5","28,1",54612,"7,23"
12/4/2018 10:59:41,"21,31","23,19","25,94",20,"26,5","35,8","27,7",54612,"7,23"
12/4/2018 11:14:50,"23,56","23,12","25,87",21,"27,3","33,4","27,4",54612,"7,22"
12/4/2018 11:29:58,"26,12","23,06","25,81","22,3","28,2","30,5","27,1",54612,"7,22"
12/4/2018 11:45:7,"28,62","23,06","25,81","22,8","28,8","28,5","26,6",54612,"7,23"
12/4/2018 12:0:16,"31,06",23,"25,75","23,3","29,5","26,6","25,9",54612,"7,22"
12/4/2018 12:15:25,"33,63",23,"25,75","24,7","30,3","25,7","26,1",54612,"7,2"
12/4/2018 12:30:35,"35,88",23,"25,69","25,8","31,6",23,"25,8",54612,"7,2"
12/4/2018 12:45:44,"38,19","23,06","25,69","26,8","32,5","22,1","25,8",54612,"7,19"
12/4/2018 13:0:53,"40,81","23,12","25,62",29,"33,6","19,7","26,5",54612,"7,19"
12/4/2018 13:39:2,"44,94","23,37","25,56","29,1","33,1","17,5","21,8",36408,"7,19"
12/4/2018 13:54:11,"45,88","23,5","25,5","29,9",33,"17,9","26,9",54612,"7,18"
12/4/2018 14:9:20,"47,06","23,62","25,5","30,7","33,7","17,2","25,9",54612,"7,18"
